Concept,Description,"Reteach Message (should be formatted as if handing it to Python print(), 80 characters wide)",Author (responsible person),Msg Status,Lab first appear,Count in Tag to Concept Master,Tags,
SchemeEquals,Understands what the '=' operator means in scheme,,,,#N/A,0,#N/A,
SchemeFalseyVal,Understands that False is the only falsey value in Scheme,"""In Scheme, the only false-y value is |False|.""",,Needs Review,#N/A,1,"ScmFalseNilInterchangeable, ",
SchemeFunctionCall,"Understands how a scheme function is called, what its arguments are",,,,#N/A,0,#N/A,
SchemeIf,Understands how an `if` procedure is evaluated,,,,#N/A,0,#N/A,
SchemeLambda,Understands how a `lambda` procedure is defined and evaluated,,,,#N/A,0,#N/A,
SchemeNil,Understands that nil is another way to reference the empty list and so it evaluates to true.,"""In Scheme, |nil| refers to the empty list, |()|. Unlike Python, it is considered\na truth-y value.""",,Needs Review,#N/A,1,"ScmFalseNilInterchangeable, ",
SchemePrefix,Student understands prefix notation when it comes to the arguments in a scheme expression,"""In Scheme, call expressions follow a prefix notation, where an operator is followed\nby zero or more operand subexpressions. Operators may be symbols, such as\n\'+\' or \'*\', or procedure names such as | list |.\n\nFor example | (- 1 2 3) | is arithmetically evaluated as ((1 - 2) - 3).""",Kristin,Needs Review,#N/A,2,"ScmEvalRightToLeft, ScmMathProcReqTwoArgs, ","Scheme expressions use prefix notation within parenthesis |(OPERATOR OPERANDS)|. There are zero or more OPERANDS and each OPERAND must be fully evaluated before applying the OPERATOR. Operators may be symbols (ex: |+|) or procedure names (ex: |list|). For example, |(- 1 2 (+ 3 4))| is evaluated as ((1 - 2) - (3 + 4))."
SchemeQuotedSymbol,"Understands that with a Scheme quote, the expression won't be evaluated and will be returned as data / symbol / literal value","""In Scheme, any expression that is not evaluated is quoted, making it symbolized.\n\n> (define b 3)\nb\n> (define a 'b)\na\n> a\nb ; Notice a is not 3\n\nQuotation also allows us to construct a list of quoted elements, using the\nconventional printed representation for lists. For example, | '(a b c) | returns\na list (a b c).""",Kristin,Needs Review,#N/A,1,"ScmQuoteVal, ","Quoting a value, |('VAL)| or |(quote VAL)|, returns the symbolic version of it.
scm> (define b 3)
b
scm> (define a 'b)
a
scm> a
b  ; The value is not 3"
SchemeStream,"Understands the constructor and selectors/evaluators of a Scheme stream, what delayed evaluation is",,,,#N/A,0,#N/A,
SchemeSyntax,Understands how to use use of parenthesis and spaces to represent a Scheme list or call a procedure,"""In Scheme, lists and procedure calls are surrounded by parenthesis. Additionally,\nthe elements of a list and the procedure name and arguments are separated by\nspaces.\n\nIn general, the rule for displaying a pair is as follows: use the dot to\nseparate the | car | and | cdr | fields of a pair, but if the dot is immediately\nfollowed by an open parenthesis, then remove the dot and the parenthesis pair.\n\nFor example, (0 . (1 . 2)) becomes (0 1 . 2)""",Kristin,Needs Review,#N/A,1,"ScmArgsNotUseSpaces, ",
SchemeWellformed,Understands that a well formed list is a linked list that has a first and a rest,"For a Scheme list to be well-formed, the car field of a list element is either a primitive, symbol, or a well-formed list. The cdr field is either a well-formed list or nil.",,,#N/A,0,#N/A,
StringConcatentation,"Understands that string concatenation with | + | can only be done with strings, as opposed to a string + int",,,,#N/A,1,"NoneConcatsAsEmptyStr, ",
TreeDisplay,How a Tree instance is displayed in the Python interpreter,,,,#N/A,2,"TreeChildrenNotInLst, WrnTreeDisp, ",
TreeHeight,How the height of a tree is calculated.,,,,#N/A,1,"TreeHeightStartsAtOne, ",
TreeImplementation,How a Tree is implemented where it has a value/entry and a list of it's children/branches. (double check semseter's chosen vernacular),,,,#N/A,1,"TreeChildrenNotInLst, ",
TupleVsList,Understands the difference between tuples and lists in terms of their syntax and how one is mutable but not the other,,,,#N/A,1,"TupIsLst, ",
